Initial Condition,Final Condition,Parameter
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_16_519_sim_.txt,0_16_519_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_11_1_sim_.txt,0_11_1_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_2_500_sim_.txt,0_2_500_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_1_1279_sim_.txt,0_1_1279_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_16_15_sim_.txt,0_16_15_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_13_1258_sim_.txt,0_13_1258_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_12_312_sim_.txt,0_12_312_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_16_989_sim_.txt,0_16_989_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_9_588_sim_.txt,0_9_588_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_1_24_sim_.txt,0_1_24_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_14_1190_sim_.txt,0_14_1190_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_20_257_sim_.txt,0_20_257_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_25_169_sim_.txt,0_25_169_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_12_1050_sim_.txt,0_12_1050_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_12_174_sim_.txt,0_12_174_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_5_915_sim_.txt,0_5_915_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_12_1236_sim_.txt,0_12_1236_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_21_994_sim_.txt,0_21_994_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_2_766_sim_.txt,0_2_766_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_18_859_sim_.txt,0_18_859_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_7_458_sim_.txt,0_7_458_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_16_1166_sim_.txt,0_16_1166_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_2_1087_sim_.txt,0_2_1087_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_21_504_sim_.txt,0_21_504_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_13_441_sim_.txt,0_13_441_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_5_585_sim_.txt,0_5_585_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_4_1147_sim_.txt,0_4_1147_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_3_253_sim_.txt,0_3_253_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_23_849_sim_.txt,0_23_849_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_15_397_sim_.txt,0_15_397_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_8_131_sim_.txt,0_8_131_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_16_495_sim_.txt,0_16_495_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_9_894_sim_.txt,0_9_894_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_3_1165_sim_.txt,0_3_1165_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_17_1084_sim_.txt,0_17_1084_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_10_343_sim_.txt,0_10_343_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_18_723_sim_.txt,0_18_723_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_22_206_sim_.txt,0_22_206_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_11_1144_sim_.txt,0_11_1144_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_6_287_sim_.txt,0_6_287_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_24_940_sim_.txt,0_24_940_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_9_404_sim_.txt,0_9_404_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_16_805_sim_.txt,0_16_805_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_6_69_sim_.txt,0_6_69_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_19_216_sim_.txt,0_19_216_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_11_676_sim_.txt,0_11_676_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_15_1214_sim_.txt,0_15_1214_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_23_733_sim_.txt,0_23_733_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_11_58_sim_.txt,0_11_58_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_7_1235_sim_.txt,0_7_1235_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_14_548_sim_.txt,0_14_548_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_23_555_sim_.txt,0_23_555_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_8_70_sim_.txt,0_8_70_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_11_410_sim_.txt,0_11_410_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_15_1072_sim_.txt,0_15_1072_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_1_1193_sim_.txt,0_1_1193_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_7_1053_sim_.txt,0_7_1053_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_1_202_sim_.txt,0_1_202_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_5_899_sim_.txt,0_5_899_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_9_662_sim_.txt,0_9_662_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_25_283_sim_.txt,0_25_283_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_21_818_sim_.txt,0_21_818_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_18_545_sim_.txt,0_18_545_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_3_1303_sim_.txt,0_3_1303_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_7_944_sim_.txt,0_7_944_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_10_125_sim_.txt,0_10_125_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_11_880_sim_.txt,0_11_880_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_8_357_sim_.txt,0_8_357_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_21_488_sim_.txt,0_21_488_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_5_409_sim_.txt,0_5_409_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_2_767_sim_.txt,0_2_767_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_7_459_sim_.txt,0_7_459_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_18_858_sim_.txt,0_18_858_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_5_914_sim_.txt,0_5_914_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_12_175_sim_.txt,0_12_175_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_12_1237_sim_.txt,0_12_1237_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_21_995_sim_.txt,0_21_995_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_3_252_sim_.txt,0_3_252_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_23_848_sim_.txt,0_23_848_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_15_396_sim_.txt,0_15_396_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_21_505_sim_.txt,0_21_505_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_2_1086_sim_.txt,0_2_1086_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_16_1167_sim_.txt,0_16_1167_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_13_440_sim_.txt,0_13_440_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_4_1146_sim_.txt,0_4_1146_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_5_584_sim_.txt,0_5_584_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_13_626_sim_.txt,0_13_626_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_21_763_sim_.txt,0_21_763_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_16_1301_sim_.txt,0_16_1301_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_16_518_sim_.txt,0_16_518_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_11_0_sim_.txt,0_11_0_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_9_919_sim_.txt,0_9_919_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_4_1320_sim_.txt,0_4_1320_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_15_30_sim_.txt,0_15_30_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_17_1109_sim_.txt,0_17_1109_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_14_855_sim_.txt,0_14_855_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_2_991_sim_.txt,0_2_991_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_5_1128_sim_.txt,0_5_1128_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_9_589_sim_.txt,0_9_589_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_1_25_sim_.txt,0_1_25_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_16_988_sim_.txt,0_16_988_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_12_313_sim_.txt,0_12_313_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_14_1191_sim_.txt,0_14_1191_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_20_256_sim_.txt,0_20_256_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_25_168_sim_.txt,0_25_168_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_12_1051_sim_.txt,0_12_1051_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_1_1278_sim_.txt,0_1_1278_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_2_501_sim_.txt,0_2_501_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_16_14_sim_.txt,0_16_14_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_13_1259_sim_.txt,0_13_1259_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_6_648_sim_.txt,0_6_648_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_3_576_sim_.txt,0_3_576_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_21_221_sim_.txt,0_21_221_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_23_1006_sim_.txt,0_23_1006_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_13_364_sim_.txt,0_13_364_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_14_187_sim_.txt,0_14_187_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_15_822_sim_.txt,0_15_822_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_4_795_sim_.txt,0_4_795_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_20_714_sim_.txt,0_20_714_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_12_651_sim_.txt,0_12_651_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_21_1296_sim_.txt,0_21_1296_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_18_1123_sim_.txt,0_18_1123_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_17_709_sim_.txt,0_17_709_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_12_437_sim_.txt,0_12_437_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_20_572_sim_.txt,0_20_572_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_2_225_sim_.txt,0_2_225_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_24_379_sim_.txt,0_24_379_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_13_102_sim_.txt,0_13_102_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_4_963_sim_.txt,0_4_963_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_8_798_sim_.txt,0_8_798_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_23_1260_sim_.txt,0_23_1260_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_22_1068_sim_.txt,0_22_1068_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_3_710_sim_.txt,0_3_710_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_17_684_sim_.txt,0_17_684_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_9_320_sim_.txt,0_9_320_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_1_740_sim_.txt,0_1_740_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_19_532_sim_.txt,0_19_532_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_11_152_sim_.txt,0_11_152_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_6_933_sim_.txt,0_6_933_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_8_615_sim_.txt,0_8_615_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_15_759_sim_.txt,0_15_759_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_24_1025_sim_.txt,0_24_1025_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_10_467_sim_.txt,0_10_467_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_9_1017_sim_.txt,0_9_1017_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_22_522_sim_.txt,0_22_522_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_24_1243_sim_.txt,0_24_1243_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_22_744_sim_.txt,0_22_744_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_18_261_sim_.txt,0_18_261_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_10_601_sim_.txt,0_10_601_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_3_1427_sim_.txt,0_3_1427_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_9_1271_sim_.txt,0_9_1271_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_8_473_sim_.txt,0_8_473_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_17_872_sim_.txt,0_17_872_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_8_1079_sim_.txt,0_8_1079_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_25_937_sim_.txt,0_25_937_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_25_17_sim_.txt,0_25_17_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_20_1113_sim_.txt,0_20_1113_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_23_271_sim_.txt,0_23_271_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_11_334_sim_.txt,0_11_334_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_19_754_sim_.txt,0_19_754_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_4_618_sim_.txt,0_4_618_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_1_526_sim_.txt,0_1_526_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_9_146_sim_.txt,0_9_146_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_20_699_sim_.txt,0_20_699_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_2_224_sim_.txt,0_2_224_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_17_708_sim_.txt,0_17_708_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_18_1122_sim_.txt,0_18_1122_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_12_436_sim_.txt,0_12_436_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_20_573_sim_.txt,0_20_573_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_22_1069_sim_.txt,0_22_1069_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_3_711_sim_.txt,0_3_711_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_24_378_sim_.txt,0_24_378_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_8_799_sim_.txt,0_8_799_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_23_1261_sim_.txt,0_23_1261_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_4_962_sim_.txt,0_4_962_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_13_103_sim_.txt,0_13_103_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_21_220_sim_.txt,0_21_220_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_13_365_sim_.txt,0_13_365_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_23_1007_sim_.txt,0_23_1007_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_6_649_sim_.txt,0_6_649_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_3_577_sim_.txt,0_3_577_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_4_794_sim_.txt,0_4_794_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_20_715_sim_.txt,0_20_715_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_21_1297_sim_.txt,0_21_1297_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_12_650_sim_.txt,0_12_650_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_14_186_sim_.txt,0_14_186_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_15_823_sim_.txt,0_15_823_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_17_873_sim_.txt,0_17_873_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_8_472_sim_.txt,0_8_472_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_25_16_sim_.txt,0_25_16_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_8_1078_sim_.txt,0_8_1078_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_25_936_sim_.txt,0_25_936_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_24_1242_sim_.txt,0_24_1242_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_22_745_sim_.txt,0_22_745_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_10_600_sim_.txt,0_10_600_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_3_1426_sim_.txt,0_3_1426_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_9_1270_sim_.txt,0_9_1270_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_18_260_sim_.txt,0_18_260_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_4_619_sim_.txt,0_4_619_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_9_147_sim_.txt,0_9_147_par_.txt
den_110328SWLEC-11028C-037A_F12_Mock_t00.txt,0_1_527_sim_.txt,0_1_527_par_.txt
